"gamma i of the SFR fission products (solid ONLY) calculated with EFR",,,,,,,,,,,,,,,,,,,,,
"PF","U238","U236","U235","U234","U233","th232","pu242","pu241","pu240","pu239","pu238","np238","np237","cm245","cm244","cm243","am243","am242m","am241",,
"Eu157",0.0000002069005,0.0000001505636,0.0000000577948,0.00000007200709,0.00000006926147,0.000000005447704,0.0000007424432,0.0000004157002,0.0000008255375,0.0000006399754,0.0000001740813,0.0000004080994,0.0000005495763,0.000004441508,0.000003537045,0.000002747335,0.000001697368,0.000001221216,0.000001110973,,
"Gd152",0.00000006101618,0.00000002826758,0.00000003799454,0.00000001358949,0.00000003138987,0.0000000402571,0.00000007498042,0.00000007682069,0.0000000591996,0.00000006218722,0.00000005555328,0.00000002344862,0.00000002509578,0.00000001481668,0.00000002925911,0.00000008438279,0.00000003483156,0.00000003568503,0.00000008479525,,
"Gd154",0.00002456934,0.00001121947,0.0000119051,0.000004602551,0.000008253728,0.000014039,0.00003216447,0.00002879886,0.0000325965,0.00002516389,0.0000217498,0.00001081596,0.00001089799,0.00001351087,0.00002201103,0.00002934283,0.00002208667,0.00002132252,0.00004875055,,
"Gd155",0.00009357516,0.00003843916,0.00003867354,0.00001741141,0.00001975885,0.00001179068,0.0001926946,0.000132511,0.0001704971,0.0001274312,0.00008101913,0.00005955198,0.00007147996,0.0001466073,0.0002149028,0.0001031041,0.0001679827,0.0001430768,0.0002950589,,
"Gd156",0.0004572949,0.0001986478,0.00014165,0.00009691843,0.0001504765,0.00004526732,0.00120768,0.0007867218,0.001107182,0.000840377,0.0004186075,0.0004080339,0.00056032,0.00173783,0.00184662,0.00116227,0.001363726,0.001098262,0.001754342,,
"Gd157",0.0001913739,0.00007908817,0.00006610376,0.00003793493,0.00001933104,0.000002107939,0.0006671545,0.000439491,0.0007081126,0.0005702846,0.0001889049,0.0002041518,0.0002762946,0.001233478,0.001237149,0.0007842212,0.0008350694,0.0006429958,0.001001253,,
"Gd158",0.0001301824,0.00004436481,0.00004982776,0.00002068252,0.00008555492,0.000006600443,0.0005621592,0.0003848764,0.0005007435,0.000413381,0.0001384783,0.0001367704,0.0001786826,0.0009756782,0.0009906437,0.0005914595,0.0006675223,0.0005006575,0.0008724364,,
"Gd160",0.00001882573,0.000005945269,0.000005902585,0.000002559012,0.000006450221,0.0000001325598,0.0001702444,0.0001151032,0.0001170334,0.00008378807,0.00002716264,0.00002994314,0.00003528623,0.0004003415,0.0003745351,0.0002078516,0.000229291,0.000157405,0.0003178056,,
"Ge72",0.0000003491926,0.0000008007755,0.0000003317888,0.000001510621,0.000001269593,0.000001033162,0.000001429052,0.000001336422,0.0000006811046,0.000002037787,0.000001193581,0.000001136579,0.00000207165,0.000001785616,0.000001526805,0.000001412954,0.000001346675,0.000001300567,0.000003813239,,
"Ge73",0.0000008179155,0.000002115527,0.0000009883388,0.00000396605,0.000003616004,0.000002995125,0.000002925783,0.000002806639,0.000001588233,0.000004377796,0.000002700556,0.000002595488,0.000004782869,0.000003361575,0.000002944756,0.000002796919,0.000002661185,0.000002634181,0.000007495248,,
